;de;para;distancia
394;50383;44951;{'weight': 1.653}
395;50274;29674;{'weight': 2.883}
396;50274;46243;{'weight': 0.468}
397;50952;203;{'weight': 7.35}
398;203;44387;{'weight': 1.863}
399;203;50973;{'weight': 1.788}
400;203;50952;{'weight': 4.861}
401;267;1988;{'weight': 1.843}
402;781;46066;{'weight': 5.241}
403;781;50973;{'weight': 2.927}
404;927;29716;{'weight': 1.763}
405;1992;39810;{'weight': 0.575}
406;2171;42480;{'weight': 1.253}
407;835;35800;{'weight': 3.945}
408;835;44795;{'weight': 2.858}
409;902;7961;{'weight': 2.848}
410;902;45267;{'weight': 2.857}
411;902;45913;{'weight': 3.027}
412;1988;29681;{'weight': 0.992}
413;1988;48187;{'weight': 2.446}
414;1988;50972;{'weight': 2.591}
415;1988;267;{'weight': 1.839}
