index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
33662;45287;6039111;-23.567386499999998;-46.57038318211271;UBS JARDIM HELGA;RUA THOMAS DE ARAUJO;53;JD HELGA;(11) 58422956;5794380.0;SP;São Paulo;2016;5
33677;45517;6332447;-23.567386499999998;-46.57038318211271;UBS JARDIM SANTA FE;RUA CONDE DE LANCASTRE;214;JARDIM SANTA FE;5921-9504;4890290.0;SP;São Paulo;2016;5
33714;45365;6194990;-23.567386499999998;-46.57038318211271;AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO;RUA MERCEDES LOPES;969;VILA SANTANA;(11)26415130;3614000.0;SP;São Paulo;2016;5
33732;45518;6332501;-23.567386499999998;-46.57038318211271;UBS VILA MARCELO;RUA AMADO BENEDITO VILAS BOAS;616;VILA MARCELO;5979-8972/ 5922-3576;4866000.0;SP;São Paulo;2016;5
33739;45339;6165516;-23.567386499999998;-46.57038318211271;UBS VILA CAMPESTRE;R ARTUR MENDES DA SILVA;206;VILA CAMPESTRE;;4332080.0;SP;São Paulo;2016;5
33742;45556;6365817;-23.567386499999998;-46.57038318211271;UBS J ELEDY;RUA SEBASTIAO ADVINCULA CUNHA;470;JD ELEDY;5823-4937;5856140.0;SP;São Paulo;2016;5
33747;45443;6283616;-23.4870421886437;-46.4329218864427;AMA UBS INTEGRADA PARQUE PAULISTANO;RUA SILVEIRA PIRES;265;PARQUE PAULISTANO;(011)2025-9469;8080160.0;SP;São Paulo;2016;5
33761;45309;6090591;-23.567386499999998;-46.57038318211271;UBS CHACARA SANTO AMARO;RUA LUIZ CARLOS DE ALMEIDA;51;CHACARA SANTO AMARO;(11)5974-9922;4875120.0;SP;São Paulo;2016;5
33785;45520;6332471;-23.567386499999998;-46.57038318211271;UBS MARSILAC;ESTRADA ENGENHEIRO MARSILAC;14487;MARSILAC;5975-2281;4891000.0;SP;São Paulo;2016;5
33796;45512;6329527;-23.567386499999998;-46.57038318211271;UBS JARDIM DAS PALMAS;RUA FRANCISCO SALES;10;JARDIM DAS PALMAS;(11) 58438340;5749280.0;SP;São Paulo;2016;5
33812;45522;6332528;-23.567386499999998;-46.57038318211271;UBS VILA ROSCHEL;RUA ALICE BASTIDE;290;VILA ROSCHEL;5920-2604;4891140.0;SP;São Paulo;2016;5
33826;45232;5992842;-23.663531541823698;-46.7627048492418;UBS PARQUE MARIA HELENA;RUA BENEDITO MATARAZZO;371;PARQUE MARIA HELENA;55108380;5854090.0;SP;São Paulo;2016;5
33849;45366;6195008;-23.567386499999998;-46.57038318211271;UBS J MACEDONIA;RUA SORIANO DE ALBUQUERQUE;77;JARDIM MACEDONIA;(11)58247707;5894440.0;SP;São Paulo;2016;5
33869;45516;6332439;-23.567386499999998;-46.57038318211271;UBS JARDIM DAS FONTES;RUA MABEL NORMANDO;122;JARDIM DAS FONTES;5975-4221;4891000.0;SP;São Paulo;2016;5
33876;45575;6380417;-23.567386499999998;-46.57038318211271;UBS J VALQUIRIA;AV CARLOS LACERDA;3093;JD VALQUIRIA;;5789001.0;SP;São Paulo;2016;5
33889;45519;6332463;-23.567386499999998;-46.57038318211271;UBS JARDIM SILVEIRA;RUA BONIFACIO ASIOLI;162;SILVEIRA;5921-5294;4889000.0;SP;São Paulo;2016;5
33892;45257;6018912;-23.567386499999998;-46.57038318211271;UBS JARDIM EMBURA;ESTRADA BENEDITO SCHUNCK;08;JARDIM EMBURA;5975-2192/ 5975-2153;4893050.0;SP;São Paulo;2016;5
33921;45521;6332498;-23.567386499999998;-46.57038318211271;UBS NOVA AMERICA;RUA EDUARDO COLLIER FILHO;14;CIDADE NOVA AMERICA;5977-3507/ 5977-0031;4895020.0;SP;São Paulo;2016;5
33974;45823;6592899;-23.4913337230676;-46.5045690536486;AMA UBS INTEGRADA VILA SILVIA;RUA BELEM SANTOS;222;VILA SILVIA;2545-6838;3821170.0;SP;São Paulo;2016;5
34048;45602;6408168;-23.5223615169518;-46.46922826766829;AMA UBS INTEGRADA AGUIA DE HAIA;RUA TANTAS PALAVRAS;59;CIDADE A E CARVALHO;37563264;8223510.0;SP;São Paulo;2016;5
34254;45783;6564410;-23.617022037505397;-46.71989679336411;UBS PARAISOPOLIS III;RUA SILVEIRA SAMPAIO;660;JARDIM MORUMBI;(11) 37421323;5656010.0;SP;São Paulo;2016;5
34337;46119;6822991;-23.774703741072898;-46.7012715339647;UBS J NOVO HORIZONTE;RUA CARUANENSE;186;JARDIM NOVO HORIZONT;59382208;4857300.0;SP;São Paulo;2016;5
34471;46188;6873286;-23.487707376479396;-46.449229717253296;UBS JARDIM LAPENNA;RUA SERRA DA JURUOCA;367;SAO MIGUEL PAULISTA;20583722;8071180.0;SP;São Paulo;2016;5
34474;46354;6998186;-23.7638676166528;-46.7075586318956;UBS VILA NATAL;AVENIDA PROFESSORA MARTA MARIA BERNARDES;246;VILA NATAL;(11) 5527-4071;4863000.0;SP;São Paulo;2016;5
34611;46194;6879810;-23.53969;-46.49641;UBS NOVA ESPERANCA PAULISTANO II;RUA MIRACI DIAMANTE;94;JD PAULISTANO II;(11)39725526;2812220.0;SP;São Paulo;2016;5
34707;46512;2042975;-23.57068;-46.61125;UBS OSWALDO MARASCA JUNIOR;AV D PEDRO I;594;IPIRANGA;(11)22728619;1552000.0;SP;São Paulo;2016;5
34920;46500;2027453;-23.71242;-46.71025;CECCO INTERLAGOS;AVENIDA ATLANTICA;4988;INTERLAGOS;(11)56667166;4805000.0;SP;São Paulo;2016;5
34933;46567;2091321;-23.55226;-46.67541;CS SES GERALDO DE PAULA SOUZA;AV DR ARNALDO;925;PACAEMBU;(11)30851134;1255000.0;SP;São Paulo;2016;5
35069;46499;2027267;-23.66581;-46.77502;CECCO SANTO DIAS;TRV JASMIM DA BEIRADA;71;CONJUNTO HABITACIONA;(11)58212220;5868580.0;SP;São Paulo;2016;5
35557;47567;2788071;-23.473489999999998;-46.68616;UBS MARIA CECILIA DONNANGELO;RUA RUI DE MORAES APOCALIPSE;02;BRASILANDIA;(11)39217759;2842260.0;SP;São Paulo;2016;5
35621;47514;2752298;-23.58745;-46.49199;UBS J TIETE II;AUGUSTO FERREIRA RAMOS RUA;9;JARDIM TIETE;(11)20170093;3947030.0;SP;São Paulo;2016;5
35623;47515;2752344;-23.57069;-46.57608;UBS V BERTIOGA DOMINGOS DELASCIO CEO TIPO II;RUA FAROL PAULISTANO;410;ALTO DA MOOCA;(11)69651066;3192060.0;SP;São Paulo;2016;5
35638;47565;2787598;-23.60375;-46.6233;UBS PROF JANDIRA MASSUR V GUMERCINDO;RUA DOM LUCIO DE SOUZA;372;VILA GUMERCINDO;(11)5062-72332;4129040.0;SP;São Paulo;2016;5
35657;47569;2788918;-23.55871;-46.553059999999995;UBS V FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA;RUA ACURUI;720;VILA FORMOSA;(11)66734130;3355000.0;SP;São Paulo;2016;5
35683;47570;2788950;-23.51652;-46.60512;AMA UBS INTEGRADA VILA GUILHERME;R JOAO VENTURA BATISTA;615;VILA GUILHERME;(11)69015883;2054100.0;SP;São Paulo;2016;5
